Image Number,Category,Annotator,Expertise Level,Host,Version,NGT,NO,Annotation TP (objects),Annotation FP (objects),Annotation FN (objects),Annotation TN (objects),Segmentation TP (pixels),Segmentation FP (pixels),Segmentation TN (pixels),Segmentation FN (pixels),Segmentation Jaccard,Segmentation Precision,Segmentation Recall,Segmentation F1-Score,Segmentation Accuracy,Objects IoU,Image IoU,Mean - Annotation Time per Annotation (seconds)
N03,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,1.0,1.0,1.0,0.0,0.0,0.0,17257.0,631.0,4173844.0,2572.0,0.84345,0.96472,0.87029,0.91508,0.99924,0.84345,0.84345,47.0
N06,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,5.0,5.0,5.0,0.0,0.0,0.0,67405.0,3071.0,4118995.0,4833.0,0.89505,0.95642,0.9331,0.94462,0.99812,0.89505,0.89505,29.6
N07,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,2.0,4.0,2.0,2.0,0.0,0.0,37340.0,10530.0,4144623.0,1811.0,0.7516,0.78003,0.95374,0.85818,0.99706,0.82075,0.7516,22.75
N08,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,11.0,11.0,10.0,1.0,1.0,0.0,50528.0,11587.0,4120622.0,11567.0,0.68576,0.81346,0.81372,0.81359,0.99448,0.73367,0.68576,16.09091
N09,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,13.0,16.0,12.0,4.0,1.0,0.0,59785.0,21390.0,4102636.0,10493.0,0.65219,0.7365,0.85069,0.78949,0.9924,0.76203,0.65219,18.125
N10,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,12.0,17.0,11.0,6.0,1.0,0.0,48593.0,29073.0,4109455.0,7183.0,0.5727,0.62567,0.87122,0.7283,0.99136,0.74967,0.5727,17.35294
N11,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,11.0,14.0,10.0,4.0,1.0,0.0,41093.0,23254.0,4124348.0,5609.0,0.58741,0.63862,0.8799,0.74009,0.99312,0.78938,0.58741,15.14286
N12,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,8.0,7.0,8.0,0.0,0.0,0.0,38831.0,10774.0,4142504.0,2195.0,0.74963,0.7828,0.9465,0.8569,0.99691,0.74963,0.74963,18.57143
N13,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,2.0,1.0,1.0,0.0,1.0,0.0,2385.0,2107.0,4188884.0,928.0,0.44004,0.53094,0.71989,0.61115,0.99928,0.53094,0.44004,14.0
N14,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,6.0,7.0,6.0,1.0,0.0,0.0,27500.0,7095.0,4157595.0,2114.0,0.74914,0.79491,0.92861,0.85658,0.9978,0.78392,0.74914,15.85714
N15,Manual,Annotator4,Expert,thumper epfl server,QuPath v4,16.0,17.0,10.0,7.0,6.0,0.0,65605.0,32333.0,4074593.0,21773.0,0.54803,0.66986,0.75082,0.70803,0.9871,0.78038,0.54803,16.35294
