Image Number,Category,Annotator,Expertise Level,Host,Version,NGT,NO,GT Label,Pred Label,Pred Area
N03,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,1.0,1.0,1.0,1.0,1021.768541
N03,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,1.0,1.0,1.0,1.0,926.9551810000002
N03,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,1.0,1.0,1.0,1.0,883.4131760000001
N04,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,1.0,1.0,1.0,1.0,717.695912
N04,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,1.0,1.0,1.0,1.0,514.4140070000001
N04,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,1.0,1.0,1.0,1.0,680.0797420000001
N06,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,1.0,1.0,602.2709520000001
N06,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,2.0,2.0,531.882338
N06,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,4.0,4.0,1321.2035600000002
N06,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,5.0,5.0,1079.687137
N06,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,1.0,4.0,515.8568190000001
N06,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,2.0,3.0,535.3863100000001
N06,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,4.0,2.0,1334.3434550000002
N06,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,5.0,5.0,1108.440319
N06,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,4.0,1.0,3.0,637.3106720000001
N06,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,4.0,2.0,2.0,627.9839230000001
N06,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,4.0,4.0,4.0,1331.715476
N06,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,4.0,5.0,1.0,1079.326434
N07,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,1.0,1.0,1323.419307
N07,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,2.0,2.0,693.9925720000001
N07,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,1.0,2.0,1427.8170610000002
N07,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,2.0,1.0,790.1456860000001
N07,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,1.0,2.0,1466.8760430000002
N07,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,2.0,1.0,819.6202740000001
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,1.0,1.0,559.656469
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,2.0,2.0,305.154738
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,3.0,3.0,155.87522500000003
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,4.0,4.0,170.61251900000002
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,5.0,5.0,301.34159200000005
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,6.0,6.0,342.049502
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,8.0,8.0,319.94356100000005
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,9.0,9.0,284.18243500000005
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,10.0,10.0,357.04444100000006
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,11.0,11.0,156.64816000000002
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,1.0,2.0,640.2993540000001
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,2.0,9.0,408.882615
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,3.0,3.0,106.768088
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,4.0,8.0,88.26917700000001
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,5.0,4.0,154.741587
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,6.0,10.0,55.136030000000005
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,8.0,1.0,373.894424
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,9.0,7.0,242.804648
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,10.0,6.0,458.917274
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,11.0,5.0,245.53568500000003
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,1.0,2.0,572.8994220000001
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,2.0,9.0,388.88936300000006
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,3.0,3.0,103.058
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,4.0,11.0,86.87789400000001
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,5.0,5.0,103.727877
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,6.0,4.0,504.82961300000005
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,8.0,7.0,303.402752
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,9.0,10.0,124.236419
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,10.0,6.0,398.422228
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,11.0,1.0,119.59880900000002
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,1.0,1.0,382.499767
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,2.0,2.0,370.390452
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,4.0,4.0,327.41526600000003
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,5.0,5.0,199.777933
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,6.0,6.0,310.46222500000005
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,7.0,7.0,369.308343
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,8.0,8.0,179.630094
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,9.0,9.0,316.954879
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,10.0,10.0,348.129924
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,11.0,11.0,173.39508500000002
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,12.0,12.0,398.21611200000007
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,13.0,13.0,159.32766800000002
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,1.0,13.0,359.260188
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,2.0,10.0,338.54553000000004
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,4.0,5.0,301.032418
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,5.0,3.0,113.776032
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,6.0,8.0,342.87396600000005
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,7.0,14.0,431.606904
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,8.0,11.0,223.584331
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,9.0,7.0,353.43741100000005
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,10.0,9.0,276.556143
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,11.0,4.0,144.12661300000002
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,12.0,12.0,387.343493
